epoch,loss,lr,throughput,tflops
0,4.865116119384766,2.4999999999999998e-05,1.3963,4.9851
0,6.774686813354492,2.4999999999999998e-05,12.36,44.127
0,6.856122016906738,2.4999999999999998e-05,12.387,44.223
0,7.503568172454834,2.4999999999999998e-05,12.382,44.207
0,2.093075752258301,2.4999999999999998e-05,12.385,44.218
0,1.4102545976638794,2.4999999999999998e-05,12.361,44.132
0,0.0,2.4999999999999998e-05,12.377,44.189
0,3.1081275939941406,2.4999999999999998e-05,12.372,44.169
0,3.7141642570495605,2.4999999999999998e-05,12.387,44.226
0,0.8916527032852173,2.4999999999999998e-05,12.37,44.165
0,0.31941893696784973,2.4999999999999998e-05,12.369,44.162
0,0.15563291311264038,2.4999999999999998e-05,12.396,44.258
0,9.053576469421387,2.4999999999999998e-05,12.41,44.308
0,1.4032174348831177,2.4999999999999998e-05,12.374,44.177
0,2.391313076019287,2.4999999999999998e-05,12.355,44.11
0,0.18729881942272186,2.4999999999999998e-05,12.407,44.295
0,0.0,2.4999999999999998e-05,12.403,44.281
0,3.9437007904052734,2.4999999999999998e-05,12.409,44.305
0,3.82802677154541,2.4999999999999998e-05,12.35,44.093
0,0.0,2.4999999999999998e-05,12.394,44.248
0,0.8690063953399658,2.4999999999999998e-05,12.379,44.196
0,2.1960411071777344,2.4999999999999998e-05,12.386,44.223
0,1.5211762189865112,2.4999999999999998e-05,12.375,44.183
0,3.805896520614624,2.4999999999999998e-05,12.376,44.184
0,0.3966977000236511,2.4999999999999998e-05,12.398,44.263
0,1.0060147047042847,2.4999999999999998e-05,12.34,44.056
0,1.8033490180969238,2.4999999999999998e-05,12.377,44.189
0,0.12399081885814667,2.4999999999999998e-05,12.369,44.16
0,3.320251941680908,2.4999999999999998e-05,12.378,44.193
0,0.059973690658807755,2.4999999999999998e-05,12.37,44.162
0,2.4875030517578125,2.4999999999999998e-05,12.336,44.044
0,1.9489340782165527,2.4999999999999998e-05,12.349,44.088
0,1.6901495456695557,2.4999999999999998e-05,12.369,44.159
0,7.567992210388184,2.4999999999999998e-05,12.32,43.987
0,0.9915790557861328,2.4999999999999998e-05,12.347,44.083
0,1.0363521575927734,2.4999999999999998e-05,12.304,43.929
0,2.1682309636616992e-07,2.4999999999999998e-05,12.339,44.052
0,1.4773141145706177,2.4999999999999998e-05,12.329,44.016
0,1.2083994150161743,2.4999999999999998e-05,12.322,43.992
0,2.3334708213806152,2.4999999999999998e-05,12.295,43.897
0,1.7461613416671753,2.4999999999999998e-05,12.325,44.003
0,0.06973849982023239,2.4999999999999998e-05,12.333,44.032
